title,price,rating,discount,offers,link,image,availability
127 cm  Ultra I Series 4K Ultra HD Smart LED Google TV AR50UDGGU2875BD,63999,3.9 stars,63% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/acer-inches-Ultra-Google-AR50UDGGU2875BD/dp/B0FDW7819M/ref=sr_1_19?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-19,https://m.media-amazon.com/images/I/61Su2HvlRWL._AC_UY218_.jpg,
VW 108 cm \ Nano Sync Series 4K Ultra HD Smart JioTele OS QLED TV VW43JQ1 \(Black,299,3.8 stars,17% off,"FREE delivery Tue, 17 Feb",https://www.amazon.in/LUNAGARIYA-PRUSHTI-Leather-Protective-Control/dp/B08L9KBB1H/ref=sr_1_20?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-20,https://m.media-amazon.com/images/I/81Dc7MGS3YL._AC_UY218_.jpg,
108 cm  Nano Sync Series 4K Ultra HD Smart JioTele OS QLED TV VW43JQ1 (Black,63999,4.0 stars,"M.R.P: ₹63,999",,https://www.amazon.in/VW-inches-Ultra-JioTele-VW43JQ1/dp/B0FDBJB455/ref=sr_1_21?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-21,"https://m.media-amazon.com/images/S/al-eu-726f4d26-7fdb/f4960916-14aa-4867-ac4e-be1575c9cd9b._CR0,0,4049,971_AC_SX130_SY60_CB1169409_QL70_.jpg",
TCL 108 cm  Metallic Bezel Less Series 4K Ultra HD Smart LED Google TV 43V6C (Black,52990,4.0 stars,59% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTU1NTM0MTk0NTg5NDExOjE3NzA4ODUyODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU4NzUzNzA3NjEzMjo6MDo6&url=%2FTCL-inches-Metallic-Google-43V6C%2Fdp%2FB0F2J7JVR1%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3DTV%2B4k%2Bamazon%26keywords%3DTV%2B4k%2Bamazon%26pd_rd_i%3DB0F2J7JVR1%26pd_rd_r%3D930ad167-25d4-41cb-86bc-804749b03e44%26pd_rd_w%3DCZynM%26pd_rd_wg%3DbCstG%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3D6BZJKM485A02H30MAX4B%26qid%3D1770885280%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-17-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DRDi2MXjlui%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=RDi2MXjlui&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71keqeuJ0eL._AC_UL320_.jpg,
Sponsored Ad - TCL 139 cm \ 4K Ultra HD Smart QLED Google TV 55P71K,35990,4.0 stars,50% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTU1NTM0MTk0NTg5NDExOjE3NzA4ODUyODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU1MDQ1NDAwMDIzMjo6MTo6&url=%2FTCL-inches-Smart-Google-40V5C%2Fdp%2FB0DZHRYFG7%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3DTV%2B4k%2Bamazon%26keywords%3DTV%2B4k%2Bamazon%26pd_rd_i%3DB0DZHRYFG7%26pd_rd_r%3D930ad167-25d4-41cb-86bc-804749b03e44%26pd_rd_w%3DCZynM%26pd_rd_wg%3DbCstG%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3D6BZJKM485A02H30MAX4B%26qid%3D1770885280%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-18-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3Drw8RXFdKm0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=rw8RXFdKm0&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81SyxW8k2nL._AC_UL320_.jpg,
TCL 139 cm  4K Ultra HD Smart QLED Google TV 55P71K,99990,4.1 stars,61% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTU1NTM0MTk0NTg5NDExOjE3NzA4ODUyODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU3MzQ0NDc2NzgzMjo6Mjo6&url=%2FTCL-inches-Ultra-Google-55P71K%2Fdp%2FB0F3JLVHS9%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3DTV%2B4k%2Bamazon%26keywords%3DTV%2B4k%2Bamazon%26pd_rd_i%3DB0F3JLVHS9%26pd_rd_r%3D930ad167-25d4-41cb-86bc-804749b03e44%26pd_rd_w%3DCZynM%26pd_rd_wg%3DbCstG%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3D6BZJKM485A02H30MAX4B%26qid%3D1770885280%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-19-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DaYW0hJuVvf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=aYW0hJuVvf&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71mA83yc8xL._AC_UL320_.jpg,
Xiaomi 138 cm  FX Ultra HD 4K Smart LED Fire TV L55MB-FIN,54999,4.0 stars,44% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTU1NTM0MTk0NTg5NDExOjE3NzA4ODUyODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU4OTgzMjUwMzIzMjo6Mzo6&url=%2FXiaomi-inch-Ultra-Smart-L55MB-FIN%2Fdp%2FB0F3JLSRZQ%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3DTV%2B4k%2Bamazon%26keywords%3DTV%2B4k%2Bamazon%26pd_rd_i%3DB0F3JLSRZQ%26pd_rd_r%3D930ad167-25d4-41cb-86bc-804749b03e44%26pd_rd_w%3DCZynM%26pd_rd_wg%3DbCstG%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3D6BZJKM485A02H30MAX4B%26qid%3D1770885280%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-20-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3Dj8rr6P9s0H%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=j8rr6P9s0H&sp_cr=ZAZ,https://m.media-amazon.com/images/I/713ugrhML2L._AC_UL320_.jpg,
109 cm  Pro Series 4K Ultra HD Smart QLED Google TV VW43GQ1,49999,4.2 stars,65% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/VW-inches-Ultra-Google-VW43GQ1/dp/B0DRV6WTZY/ref=sr_1_22?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-22,https://m.media-amazon.com/images/I/51G3nJ3pdHL._AC_UY218_.jpg,
"Cable - 3 Feet | 8K 60Hz HDR, 4K 120Hz, High Speed 48Gbps with Ethernet, eARC, 3D, HD",1999,4.1 stars,,"FREE delivery Sat, 14 Feb",https://www.amazon.in/Fire-TV-Stick-Alexa-Voice-Remote-3rd-Gen/dp/B08D32F4NV/ref=sr_1_23?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-23,https://m.media-amazon.com/images/I/51am3nxFeoL._AC_UY218_.jpg,
"Cable - 3 Feet | 8K 60Hz HDR, 4K 120Hz, High Speed 48Gbps with Ethernet, eARC, 3D, HDCP 2",949,4.5 stars,68% off,"FREE delivery Mon, 16 Feb",https://www.amazon.in/Amazon-Basics-Pro-HDMI-Cable/dp/B0F6YQ9J25/ref=sr_1_24?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-24,https://m.media-amazon.com/images/I/51am3nxFeoL._AC_UY218_.jpg,
